match_id_unique,team,opposition,match_result,match_date,venue,season,toss_winner,toss_decision,won,lost,tied,toss_won
S2_M2,Chitwan Rhinos (NPL),Karnali Yaks (NPL),Win,2025-11-18,"Tribhuvan University International Cricket Ground, Kirtipur",2,Chitwan Rhinos (NPL),Field,1,0,0,1
S2_M2,Karnali Yaks (NPL),Chitwan Rhinos (NPL),Loss,2025-11-18,"Tribhuvan University International Cricket Ground, Kirtipur",2,Chitwan Rhinos (NPL),Field,0,1,0,0
S2_M20,Chitwan Rhinos (NPL),Janakpur Bolts (NPL),Loss,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",2,Chitwan Rhinos (NPL),Bat,0,1,0,1
S2_M20,Janakpur Bolts (NPL),Chitwan Rhinos (NPL),Win,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",2,Chitwan Rhinos (NPL),Bat,1,0,0,0
S2_M21,Karnali Yaks (NPL),Pokhara Avengers (NPL),Loss,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",2,Karnali Yaks (NPL),Bat,0,1,0,1
S2_M21,Pokhara Avengers (NPL),Karnali Yaks (NPL),Win,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",2,Karnali Yaks (NPL),Bat,1,0,0,0
S2_M22,Biratnagar Kings (NPL),Lumbini Lions (NPL),Loss,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",2,Lumbini Lions (NPL),Bat,0,1,0,0
S2_M22,Lumbini Lions (NPL),Biratnagar Kings (NPL),Win,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",2,Lumbini Lions (NPL),Field,1,0,0,1
S2_M23,Kathmandu Gurkhas (NPL),Pokhara Avengers (NPL),Win,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur",2,Pokhara Avengers (NPL),Bat,1,0,0,0
S2_M23,Pokhara Avengers (NPL),Kathmandu Gurkhas (NPL),Loss,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur",2,Pokhara Avengers (NPL),Field,0,1,0,1
S2_M24,Chitwan Rhinos (NPL),Sudur Paschim Royals (NPL),Loss,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur",2,Chitwan Rhinos (NPL),Field,0,1,0,1
S2_M24,Sudur Paschim Royals (NPL),Chitwan Rhinos (NPL),Win,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur",2,Chitwan Rhinos (NPL),Bat,1,0,0,0
