Player,Team,Span,Mat,Inns,NO,Runs_bat,HS,Ave_bat,BF,SR_bat,100,50,0,4s,6s,Overs,Mdns,Balls,Runs_bowl,Wkts,BBI,Ave_bowl,Econ,SR_bowl,4w,5w,10w
A Gharti,KAY,2025-2025,4,2,0,17,13,8.5,27,62.96,0,0,0,1,0,0,0,0,0,-,-,-,-,0,0,0
KS Airee,CHR,2025-2025,7,3,1,17,9,8.5,16,106.25,0,0,0,1,1,16.4,0,100,165,5,2/19,33.0,9.9,20.0,0,0,0
LN Rajbanshi,JAB,2025-2025,5,2,2,15,10*,-,14,107.14,0,0,0,2,0,18.4,0,112,135,4,2/16,33.75,7.23,28.0,0,0,0
S Kansakar,JAB,2025-2025,4,3,0,15,11,5.0,18,83.33,0,0,1,1,0,0,0,0,0,-,-,-,-,0,0,0
Abhisekh Tiwari,POA,2025-2025,3,2,0,14,11,7.0,22,63.63,0,0,0,0,1,0,0,0,0,0,-,-,-,-,0,0,0
P Mehra,SPR,2025-2025,3,2,0,13,13,6.5,13,100.0,0,0,1,2,0,0,0,0,0,-,-,-,-,0,0,0
AS Routela,CHR,2025-2025,4,3,2,13,9,13.0,11,118.18,0,0,0,1,0,0,0,0,0,-,-,-,-,0,0,0
D Rawat,KAY,2025-2025,2,2,0,12,10,6.0,10,120.0,0,0,0,1,0,5.0,0,30,44,0,-,-,8.8,-,0,0,0
Abhishesh Gautam,LUL,2025-2025,10,0,3,11,2,6.0,12,100.0,0,0,0,1,0,31.0,0,186,215,7,2/15,30.71,6.93,26.5,0,0,0
H Dhami,SPR,2025-2025,7,3,3,11,7*,-,17,64.7,0,0,0,0,1,17.0,0,102,140,9,2/9,15.55,8.23,11.3,0,0,0
Mukhtar Ahmed,SPR,2025-2025,1,1,0,10,10,10.0,10,100.0,0,0,0,2,0,0,0,0,0,-,-,-,-,0,0,0
D Dumre,KAY,2025-2025,2,1,0,10,10,10.0,12,83.33,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0
N Saud,SPR,2025-2025,4,3,1,10,6,5.0,15,66.66,0,0,1,1,0,6.0,0,36,40,2,1/9,20.0,6.66,18.0,0,0,0
